,Category,SubCategory,ObjectName,X,Y,Z,Shadow,Texture,Background,Name,Shape,Size,Datatype
0,Automobile,Bike,Dirtbike,0,0,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y0_Z0_Yes_Black_White.png,"(540, 960, 3)",16872,uint8
1,Automobile,Bike,Dirtbike,0,0,135,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y0_Z135_Yes_Black_White.png,"(540, 960, 3)",20623,uint8
2,Automobile,Bike,Dirtbike,0,0,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y0_Z180_Yes_Black_White.png,"(540, 960, 3)",17268,uint8
3,Automobile,Bike,Dirtbike,0,0,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y0_Z360_Yes_Black_White.png,"(540, 960, 3)",16872,uint8
4,Automobile,Bike,Dirtbike,0,0,45,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y0_Z45_Yes_Black_White.png,"(540, 960, 3)",18680,uint8
5,Automobile,Bike,Dirtbike,0,0,90,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y0_Z90_Yes_Black_White.png,"(540, 960, 3)",17609,uint8
6,Automobile,Bike,Dirtbike,0,135,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y135_Z0_Yes_Black_White.png,"(540, 960, 3)",46940,uint8
7,Automobile,Bike,Dirtbike,0,135,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y135_Z180_Yes_Black_White.png,"(540, 960, 3)",42381,uint8
8,Automobile,Bike,Dirtbike,0,135,225,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y135_Z225_Yes_Black_White.png,"(540, 960, 3)",52286,uint8
9,Automobile,Bike,Dirtbike,0,135,270,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y135_Z270_Yes_Black_White.png,"(540, 960, 3)",46472,uint8
10,Automobile,Bike,Dirtbike,0,135,315,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y135_Z315_Yes_Black_White.png,"(540, 960, 3)",49443,uint8
11,Automobile,Bike,Dirtbike,0,135,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y135_Z360_Yes_Black_White.png,"(540, 960, 3)",46940,uint8
12,Automobile,Bike,Dirtbike,0,180,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y180_Z0_Yes_Black_White.png,"(540, 960, 3)",19492,uint8
13,Automobile,Bike,Dirtbike,0,180,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y180_Z180_Yes_Black_White.png,"(540, 960, 3)",16322,uint8
14,Automobile,Bike,Dirtbike,0,180,225,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y180_Z225_Yes_Black_White.png,"(540, 960, 3)",20086,uint8
15,Automobile,Bike,Dirtbike,0,180,270,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y180_Z270_Yes_Black_White.png,"(540, 960, 3)",17885,uint8
16,Automobile,Bike,Dirtbike,0,180,315,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y180_Z315_Yes_Black_White.png,"(540, 960, 3)",20080,uint8
17,Automobile,Bike,Dirtbike,0,180,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y180_Z360_Yes_Black_White.png,"(540, 960, 3)",19492,uint8
18,Automobile,Bike,Dirtbike,0,225,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y225_Z0_Yes_Black_White.png,"(540, 960, 3)",47447,uint8
19,Automobile,Bike,Dirtbike,0,225,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y225_Z180_Yes_Black_White.png,"(540, 960, 3)",44222,uint8
20,Automobile,Bike,Dirtbike,0,225,225,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y225_Z225_Yes_Black_White.png,"(540, 960, 3)",55185,uint8
21,Automobile,Bike,Dirtbike,0,225,270,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y225_Z270_Yes_Black_White.png,"(540, 960, 3)",47443,uint8
22,Automobile,Bike,Dirtbike,0,225,315,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y225_Z315_Yes_Black_White.png,"(540, 960, 3)",49569,uint8
23,Automobile,Bike,Dirtbike,0,225,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y225_Z360_Yes_Black_White.png,"(540, 960, 3)",47447,uint8
24,Automobile,Bike,Dirtbike,0,270,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z0_Yes_Black_White.png,"(540, 960, 3)",50939,uint8
25,Automobile,Bike,Dirtbike,0,270,135,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z135_Yes_Black_White.png,"(540, 960, 3)",49653,uint8
26,Automobile,Bike,Dirtbike,0,270,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z180_Yes_Black_White.png,"(540, 960, 3)",45694,uint8
27,Automobile,Bike,Dirtbike,0,270,225,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z225_Yes_Black_White.png,"(540, 960, 3)",50752,uint8
28,Automobile,Bike,Dirtbike,0,270,270,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z270_Yes_Black_White.png,"(540, 960, 3)",46871,uint8
29,Automobile,Bike,Dirtbike,0,270,315,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z315_Yes_Black_White.png,"(540, 960, 3)",57770,uint8
30,Automobile,Bike,Dirtbike,0,270,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z360_Yes_Black_White.png,"(540, 960, 3)",50939,uint8
31,Automobile,Bike,Dirtbike,0,270,45,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z45_Yes_Black_White.png,"(540, 960, 3)",59216,uint8
32,Automobile,Bike,Dirtbike,0,270,90,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y270_Z90_Yes_Black_White.png,"(540, 960, 3)",58594,uint8
33,Automobile,Bike,Dirtbike,0,315,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y315_Z0_Yes_Black_White.png,"(540, 960, 3)",48416,uint8
34,Automobile,Bike,Dirtbike,0,315,135,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y315_Z135_Yes_Black_White.png,"(540, 960, 3)",52016,uint8
35,Automobile,Bike,Dirtbike,0,315,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y315_Z180_Yes_Black_White.png,"(540, 960, 3)",43891,uint8
36,Automobile,Bike,Dirtbike,0,315,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y315_Z360_Yes_Black_White.png,"(540, 960, 3)",48416,uint8
37,Automobile,Bike,Dirtbike,0,315,45,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y315_Z45_Yes_Black_White.png,"(540, 960, 3)",50280,uint8
38,Automobile,Bike,Dirtbike,0,315,90,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y315_Z90_Yes_Black_White.png,"(540, 960, 3)",45778,uint8
