,Category,SubCategory,ObjectName,X,Y,Z,Shadow,Texture,Background,Name,Shape,Size,Datatype
0,Automobile,Bike,Enfield,0,0,0,Yes,Black,White,Automobile_Bike_Enfield_X0_Y0_Z0_Yes_Black_White.png,"(540, 960, 3)",22503,uint8
1,Automobile,Bike,Enfield,0,0,135,Yes,Black,White,Automobile_Bike_Enfield_X0_Y0_Z135_Yes_Black_White.png,"(540, 960, 3)",27881,uint8
2,Automobile,Bike,Enfield,0,0,180,Yes,Black,White,Automobile_Bike_Enfield_X0_Y0_Z180_Yes_Black_White.png,"(540, 960, 3)",19766,uint8
3,Automobile,Bike,Enfield,0,0,360,Yes,Black,White,Automobile_Bike_Enfield_X0_Y0_Z360_Yes_Black_White.png,"(540, 960, 3)",22503,uint8
4,Automobile,Bike,Enfield,0,0,45,Yes,Black,White,Automobile_Bike_Enfield_X0_Y0_Z45_Yes_Black_White.png,"(540, 960, 3)",25578,uint8
5,Automobile,Bike,Enfield,0,0,90,Yes,Black,White,Automobile_Bike_Enfield_X0_Y0_Z90_Yes_Black_White.png,"(540, 960, 3)",27996,uint8
6,Automobile,Bike,Enfield,0,135,0,Yes,Black,White,Automobile_Bike_Enfield_X0_Y135_Z0_Yes_Black_White.png,"(540, 960, 3)",60364,uint8
7,Automobile,Bike,Enfield,0,135,180,Yes,Black,White,Automobile_Bike_Enfield_X0_Y135_Z180_Yes_Black_White.png,"(540, 960, 3)",55166,uint8
8,Automobile,Bike,Enfield,0,135,225,Yes,Black,White,Automobile_Bike_Enfield_X0_Y135_Z225_Yes_Black_White.png,"(540, 960, 3)",67605,uint8
9,Automobile,Bike,Enfield,0,135,270,Yes,Black,White,Automobile_Bike_Enfield_X0_Y135_Z270_Yes_Black_White.png,"(540, 960, 3)",62759,uint8
10,Automobile,Bike,Enfield,0,135,315,Yes,Black,White,Automobile_Bike_Enfield_X0_Y135_Z315_Yes_Black_White.png,"(540, 960, 3)",66545,uint8
