,Category,SubCategory,ObjectName,X,Y,Z,Shadow,Texture,Background,Name,Shape,Size,Datatype
0,Automobile,Audi,RS4,0,0,0,Yes,Black,White,Automobile_Audi_RS4_X0_Y0_Z0_Yes_Black_White.png,"(540, 960, 3)",17880,uint8
1,Automobile,Audi,RS4,0,0,135,Yes,Black,White,Automobile_Audi_RS4_X0_Y0_Z135_Yes_Black_White.png,"(540, 960, 3)",30880,uint8
2,Automobile,Audi,RS4,0,0,360,Yes,Black,White,Automobile_Audi_RS4_X0_Y0_Z360_Yes_Black_White.png,"(540, 960, 3)",17880,uint8
3,Automobile,Audi,RS4,0,0,45,Yes,Black,White,Automobile_Audi_RS4_X0_Y0_Z45_Yes_Black_White.png,"(540, 960, 3)",32412,uint8
4,Automobile,Audi,RS4,0,0,90,Yes,Black,White,Automobile_Audi_RS4_X0_Y0_Z90_Yes_Black_White.png,"(540, 960, 3)",32625,uint8
5,Automobile,Audi,RS4,0,135,0,Yes,Black,White,Automobile_Audi_RS4_X0_Y135_Z0_Yes_Black_White.png,"(540, 960, 3)",31984,uint8
6,Automobile,Audi,RS4,0,135,225,Yes,Black,White,Automobile_Audi_RS4_X0_Y135_Z225_Yes_Black_White.png,"(540, 960, 3)",45147,uint8
7,Automobile,Audi,RS4,0,135,270,Yes,Black,White,Automobile_Audi_RS4_X0_Y135_Z270_Yes_Black_White.png,"(540, 960, 3)",41063,uint8
8,Automobile,Audi,RS4,0,135,315,Yes,Black,White,Automobile_Audi_RS4_X0_Y135_Z315_Yes_Black_White.png,"(540, 960, 3)",47483,uint8
9,Automobile,Audi,RS4,0,135,360,Yes,Black,White,Automobile_Audi_RS4_X0_Y135_Z360_Yes_Black_White.png,"(540, 960, 3)",31984,uint8
10,Automobile,Audi,RS4,0,180,0,Yes,Black,White,Automobile_Audi_RS4_X0_Y180_Z0_Yes_Black_White.png,"(540, 960, 3)",19126,uint8
11,Automobile,Audi,RS4,0,180,225,Yes,Black,White,Automobile_Audi_RS4_X0_Y180_Z225_Yes_Black_White.png,"(540, 960, 3)",32311,uint8
